conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider 
MATERIAL:1,Wood,,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,CRNHA
MATERIAL:2,Cypress,,MATERIAL:1,Index,CRNHA
MATERIAL:3,Yellow Pine,,MATERIAL:1,Index,CRNHA
MATERIAL:4,Stone,,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,CRNHA
MATERIAL:5,Marble,,MATERIAL:4,Index,CRNHA
MATERIAL:6,Basalt,,MATERIAL:4,Index,CRNHA
MATERIAL:7,Granite,,MATERIAL:4,Index,CRNHA
MATERIAL:8,Limestone,,MATERIAL:4,Index,CRNHA
MATERIAL:9,Slate,,MATERIAL:4,Index,CRNHA
MATERIAL:10,Concrete,,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,CRNHA
MATERIAL:11,Concrete block,,MATERIAL:10,Index,CRNHA
MATERIAL:12,"Concrete, poured/precast",,MATERIAL:10,Index,CRNHA
MATERIAL:13,Metal,,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,CRNHA
MATERIAL:14,Steel,,MATERIAL:13,Index,CRNHA
MATERIAL:15,Cast Iron,,MATERIAL:13,Index,CRNHA
MATERIAL:16,Wrought Iron,,MATERIAL:13,Index,CRNHA
MATERIAL:17,Aluminum,,MATERIAL:13,Index,CRNHA
MATERIAL:18,Tin,,MATERIAL:13,Index,CRNHA
MATERIAL:19,Other,,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,CRNHA
MATERIAL:20,Brick,,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,CRNHA
MATERIAL:21,Tile,,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,CRNHA
MATERIAL:22,Asphalt,,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,CRNHA
MATERIAL:23,Asbestos,,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,CRNHA
MATERIAL:24,Stucco,,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,CRNHA
MATERIAL:25,Boussillage,,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,CRNHA
MATERIAL:26,Vinyl,,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,CRNHA
MATERIAL:29,Glass,,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,CRNHA
